no,pro,city,lat,lon,alt
50936,JL,BC,45.633,122.833,155.2
50945,JL,DA,45.5,124.267,137.4
50948,JL,QA,45,124.017,146.3
50949,JL,QG,45.083,124.867,135.9
54041,JL,TY,44.783,123.067,149.5
54049,JL,CL,44.25,123.967,189.3
54063,JL,FY,44.967,126,196.6
54064,JL,NA,44.417,125.167,188.7
54142,JL,SL,43.5,123.533,114.9
54157,JL,SP,43.183,124.333,164.2
54161,JL,CC,43.9,125.217,236.8
54165,JL,SY,43.5,125.65,234.3
54171,JL,YJ,43.7,126.517,229.5
54181,JL,ZH,43.7,127.333,295
54186,JL,DH,43.367,128.2,523.7
54195,JL,WQ,43.333,129.767,241.7
54260,JL,LY,42.917,125.083,252.9
54263,JL,PS,42.967,126.05,336.7
54266,JL,MHK,42.533,125.633,339.9
54273,JL,ZD,42.983,126.75,263.3
54276,JL,JY,42.35,126.817,549.2
54284,JL,DG,42.1,127.567,774.2
54285,JL,ED,42.533,128.25,591.4
54286,JL,HL,42.533,129,475.6
54292,JL,YJ,42.883,129.467,176.8
54363,JL,TH,41.683,125.9,402.9
54374,JL,LJ,41.8,126.917,332.7
54377,JL,JA,41.1,126.15,177.7
54386,JL,CB,41.417,128.183,775
50877,HLJ,YL,46.3,129.583,100.1
50950,HLJ,ZZ,45.7,125.25,148.7
50953,HLJ,HEB,45.75,126.767,142.3
50963,HLJ,TH,45.967,128.733,108.6
50968,HLJ,SZ,45.217,127.967,189.7
50973,HLJ,BL,45.75,130.583,220.5
50978,HLJ,JX,45.283,130.95,238.3
54094,HLJ,MDJ,44.567,129.6,241.4
54096,HLJ,SFH,44.383,131.15,496.7
54135,NMG,TL,43.6,122.267,178.5
54236,LN,ZW,42.417,122.533,79.4
54243,LN,CT,42.783,124.117,165.1
54254,LN,KY,42.533,124.05,98.2
54259,LN,QY,42.1,124.917,237.2
54333,LN,XM,41.983,122.833,30.7
54339,LN,AS,41.083,123,77.3
54342,LN,SY,41.733,123.45,44.7
54346,LN,BX,41.317,123.783,185.2
54351,LN,FS,41.917,124.083,118.5
54353,LN,XB,41.733,125.05,328.4
54470,LN,DW,40.983,122.067,3.9
